;;;;;;;;;;;;;
"(1) 10a3: The FNAILS contains information about arrests (broken down into simple use, use/dealing, local trafficking, and international trafficking) and seizures.  The substance stated is the """"predominant drug"""", i.e. the main drug taken by the user or held in the largest quantities by the trafficker.  If this rule cannot be applied, the """"hardest"""" drug is used. This data source is managed by the Central Office for the Repression of Narcotics Trafficking (OCRTIS) [9, 10]. In 2007, its name was changed to OSIRIS (Information System and Tool for Drug-Related Offences). NEMO study Six """"three-sample capture/recapture analyses"""" were carried out in 2005-2006 in order to estimate the number of problem drug users in Lille, Lyon, Marseille, Metz, Rennes and Toulouse (NEMO study). In each participating town, the geographical area was defined taking account of the presence and coverage of the existing data sources and the administrative relevance of the geographical divisions.  The study areas were the following: the Urban Community of Lille Métropole with almost 1.1 million inhabitants, """"Greater Lyon"""" comprising 57 districts with almost 1.2 million inhabitants, inner Marseille with almost 800,000 inhabitants, the Metz area covering 61 districts with 310,000 inhabitants, the Rennes area comprising 10 districts with almost 270,000 inhabitants and the Toulouse metropolitan area with 72 districts and 760,000 inhabitants. Data sources for problem drug users were identified and the data were collected from these sources over a six-month period between 2005 and 2006. These sources notably included the drug treatment centres, general practitioners, hospital units (infectious diseases, accident and emergency departments), low-threshold reception facilities (CAARUD), social services and law enforcement sources such as drug squads, the justice system, treatment units in prison and data held by the Central Office for the Repression of Narcotics Trafficking (OCRTIS).  Data collection in prison was delayed for two months, compared to other data sources, in order to allow problem drug users entering prison during the last two months of the survey to be """"captured"""" by other data sources.  For each study (each town), the different data sources were grouped into three samples using a statistical criteria (an odds ratio between two data sources greater than one, suggesting possible linkage between both sources, leading to both data sources being combined) and a field criterion (when two data sources are locally known to be related). The final samples obtained were: •In Lille, 1,815 records corresponding to 1,683 problem drug users, 7.5 % of whom were present in several samples. • In Lyon, 1,363 records corresponding to 1,267 people, 7.3 % of whom were present in more than one sample. •In Marseille, 929 records corresponding to 799 identified individuals, with only 4.2 % in several samples. •In Metz, 467 individuals were identified from 502 records, 6.8 % of whom were present in several samples. •In Rennes, 409 records corresponding to 351 people, 15.4 % of whom were present in several samples. •In Toulouse, 1,151 records corresponding to 1,090 people, 5.5 % of whom were present in several samples. Subjects were included in the study if they had resided for more than three months in one of the six cities, if they declared having used at least one illegal drug over the last 30 days (cannabis excluded): opiates, cocaine/crack, other stimulants and/or hallucinogens, and if they were 15-64 years old.";;;;;;;;;;;;;
"(2) 10a2: Data collection in prison was delayed for two months, compared to other data sources, in order to allow problem drug users entering prison during the last two months of the survey to be """"captured"""" by other data sources.  For each study (each town), the different data sources were grouped into three samples using a statistical criteria (an odds ratio between two data sources greater than one, suggesting possible linkage between both sources, leading to both data sources being combined) and a field criterion (when two data sources are locally known to be related). The final samples obtained were: • In Lille, 1,815 records corresponding to 1,683 problem drug users, 7.5 % of whom were present in several samples. •  In Lyon, 1,363 records corresponding to 1,267 people, 7.3 % of whom were present in more than one sample. • In Marseille, 929 records corresponding to 799 identified individuals, with only 4.2 % in several samples. • In Metz, 467 individuals were identified from 502 records, 6.8 % of whom were present in several samples. • In Rennes, 409 records corresponding to 351 people, 15.4 % of whom were present in several samples. • In Toulouse, 1,151 records corresponding to 1,090 people, 5.5 % of whom were present in several samples. Subjects were included in the study if they had resided for more than three months in one of the six cities, if they declared having used at least one illegal drug over the last 30 days (cannabis excluded): opiates, cocaine/crack, other stimulants and/or hallucinogens, and if they were 15-64 years old. For PM estimate: The (N = B / c) method is based on the ability to estimate two values: B: Number of drug users arrested by the police in a given year c: probability, for a drug user, of being arrested by the police in a given year. In 2005-2006 , there were 15,118 arrests for drug law offences involving heroin or cocaine use.  These arrests represent an approximation for the number B. The people concerned are not all """"problem drug users"""" as defined in the European protocol (see above), as an occasional user can be arrested by the police.  Nevertheless, it is very likely that people arrested by the police will meet the criteria enabling them to be included in the target group. In addition, the statistics record numbers of arrests and not numbers of people arrested.  A study published by the OFDT in 1998 examined this difference and found, amongst other things, that the average number of arrests per person for heroin was 1.38 [16]. More recently, OCRTIS compared these arrest statistics to the number of people involved. In 2005, there were 4,486 arrests for heroin use while 4,177 people were arrested for heroin use, i.e. a ratio of 1.07.  The equivalent ratio for cocaine was 1.02 [9]. The number of arrests can therefore be taken as a good approximation of the number of people arrested for heroin or cocaine use. Finally, to estimate """"c"""", the arrest statistics for the departments concerned can be compared to the estimates of the number of problem drug users from the NEMO studies.  This produces the average number of arrests for a problem drug user. Using the available data, the intermediary variables in the equation become: •B: Number of arrests for heroin or cocaine use in a given year •c: average number of arrests for heroin or cocaine use in a problem drug user for a given year. All of the procedures arising from narcotics offences conducted by the police and the gendarmerie in France (including the overseas departments, DOM) are recorded in the National file of narcotics legislation offences (FNAILS), except for offences identified by customs officials which did not result in a report.";;;;;;;;;;;;;
(3) 10c: Target population:All in-patients of treatment centres recorded in 2013 and 2014 following the TDI protocol. Method: Capture-recapture using a single list over a 2-year period. HRDU/PDU were located in both register and the 2013 and 2014 databases were merged to estimate the number of patients recorded once only and those recorded twice. Structures were selected according to their participation in the data collection: structures having participated only one year were discarded. Estimates were computed by means of a Zelterman regression (see Böhning and Van der Heijden, Annals of Applied Statistics 2009).Sources: RECAP, an adaptation of the TDI protocol to France recording all patients entering a treatment center a given year, for whatever addiction or substance misuse/abuse.Note that the study was restricted to patients in metropolitan France aged 15 to 64 yrs.OST clients are fully included ;;;;;;;;;;;;;
(4) 11a: Drug treatment;;;;;;;;;;;;;
(5) 12a: Ministry of Health, Drug users treated in public outpatient services with opiates or stimulants as primary substance. Ministry of the Interior. Drug users referred to the Prefect for possession of opiates or stimulants for personal consumption. Drug users in treatment in private outpatient/inpatient services at a specific datae with opiates or stimulants as primary substance. Subjects that have committed crimes against drug laws involving opiates or stimulants. Ministry of Justice. Drug users in prison at the date of 31 December with opiates or stimulants as primary substance. Number of unique individuals not available because it is not possible to cross data at national level. For 2001/2002 estimates: Combined interval from multiple capture-recapture and truncated Poisson estimates.      ;;;;;;;;;;;;;
(6) 13a: Treatment demand data. OST clients are fully included/ the entiry case registry was used for the estimation. Person in treatment during the corresponding year, with a long term career/intravenous/regular use of opiates or cocaine (as a primary drug). For 2006 estimate:Truncated Poisson method (Chao's formula) based on treatment demand data.Treatment demand data.n.a..The estimate should be treated with caution, as the number of drug users asking treatment repeatedly within the year was higher than in 2005. ;;;;;;;;;;;;;
(7) 14a: Acute drug overdose (Forensic medicine expertise). Acute drug overdose (Health Statistics and Medical Technology Agency).State Narcology register    ;;;;;;;;;;;;;
(8) 14b: It is estimated (by combining individual level data from those sources who report to TDI system with data on actual treatment episodes during calendar year) that data on. All treatments in Latvia includes only 50 per cent of cases.Thus two prevalence figures are calculated by Treatment Multiplier method: 1) lowest estimate by using data that is reported in TDI and 2) highest estimate by taking into account estimated fraction of underreporting. Data from different treatment settings combined: out-patient data, in-patient data, data from those treatment centers who do not report via TDI protocol (prison, some out-patient treatment centres). Treatment data coverage in the number of clients is estimated not more than 50% (see, National Reports). Multiplier obtained in the Riga Drug Users' Cohort Study. Clients who have been treated during calendar year.;;;;;;;;;;;;;
"(9) 14c: 2010 estimate:Three treatment databases combined:Source1=TDI All patient.  All clients treated for primary opioid, cocaine and amphetamine/ephedrine (methcatinone) use.  Some of amphetamine/methamphetamine users included in this figure might not be counted as """"problematic"""" but more precise data is not available.  In total 1320 individual problem drug users (of 1738 treated drug users) have been accounted for in the TDI database (PREDA) and reported via Fonte (TDI_2011_LV_02).  Source1=1315 PDU.Source2=Health Insurance data on outpatient clients but not reported in Source1.  Additionally 986 unique clients were reported to Health Insurance data on outpatient treatment only with no detailed information in TDI, of which 268 clients (27.2%) had diagnosis related with opioids (ICD-10 F11), 230 (23.3%) - polydrug (F19), 142 (14.4%) - stimulants (F15), 131 (13.3%) - cannabis, 46 - inhalants (F18), 40 - cocaine (F14), 20 - hallucinogens (F16), and 109 clients with diagnosis related with sedatives.  For these estimates only those with ICD-10 diagnosis F11, F14 and F15 were included as no detailed information is available on F19.    Source2=449, Source3=Health Insurance data on inpatient clients.  There might be some overlaps between Source3 and Source1/Source2. Health Insurance data suggest there were 479 unique in-patient clients treated with ICD-10 codes of F11-F19 at in-patient settings in 2010.  The number of patients with ICD-10 codes of F11, F14 and F15 were included in the estimates. Source3=280.2011 estimate:Three treatment databases combined:Source1=TDI All patient.  All clients treated for primary opioid, cocaine and amphetamine/ephedrine (methcatinone) use.  Some of amphetamine/methamphetamine users included in this figure might not be counted as """"problematic"""" but more precise data is not available.  In total 1451 individual problem drug users (of 2010 treated drug users) have been accounted for in the TDI database (PREDA) and reported via Fonte (TDI_2012_LV_01).  Source1=1451 PDU.Source2=Health Insurance data on outpatient clients but not reported in Source1.  Additionally 986 unique clients were reported to Health Insurance data on outpatient treatment only (948) with no detailed information in TDI, of which 242 clients had diagnosis related with opioids (ICD-10 F11), 179 - polydrug (F19), 117 (14.4%) - stimulants (F15), 22 - cocaine (F14), For these estimates only those with ICD-10 diagnosis F11, F14 and F15 were included as no detailed information is available on F19.    Source2=359 Source3=Health Insurance data on inpatient clients.  Overlaps between Source3 and Source1/Source2 taken into account. Health Insurance data suggest there were 113 unique in-patient clients treated with ICD-10 codes of F11-F19 at in-patient settings in 2011 (with to mention in SOurce1 or Source2).  The number of patients with ICD-10 codes of F11, F14 and F15 were included in the estimates. Source3=23.";;;;;;;;;;;;;
"(10) 16a: For CM estimate:Combined interval from multiple capture-recapture and truncated Poisson estimates ; Truncated Poisson model, combined results of Chao and Zelterman estimators. For CR estimate: Combined interval from multiple capture-recapture and truncated Poisson estimates. For estimates before 2000:  Combined interval from multiple capture-recapture and truncated Poisson estimates.     ";;;;;;;;;;;;;
(11) 16b: Multi-methods: For 2007:Treament multiplier, Police multiplier, mortality multiplier, Capture-recapture (2,3 and 4 sources) and Truncated Poisson. Drug-related deaths, criminal justice system, drug treatment, infectious diseases registries and methadone programmes.For 2009:Treatment multiplier. police multiplier, mortality multiplier, HIV multiplier, 2,3 and 4 sources capture recapture and truncated Poisson regression. Mid-point estimated is provided as final result.Persons registered for drug use offences by police during 2009,Persons in contact with national specialized treatment facilities during 2009,HIV positive persons infected via injecting drug use,Persons in OST during 2009;;;;;;;;;;;;;
(12) 16c: The method referred to is based upon the exhaustive annual census of patients in Opioid Substitution Treatment (OST) at the national level provided by the national OST register and the annual OST in-treatment rate provided by the national drug monitoring system RELIS: (ROSTRELIS). Since patients undergoing OST are exclusively opioid users (OU) and exhaustively registered by the national OST register, the application of the OST multiplier, provided annually by the national RELIS system, allows estimating the number of OU. The RELIS monitoring systems is based on data collection from problem drug users in contact with national institutions (DR and SR) and provides data on drug use pattern of HRDU at the national level. Preferential drug use, including opiates’ use, is routine items of the RELIS data protocol, which allows to calculate the proportion of HRDU showing opioid use (ROU). Thus, the estimated number of OUs determined by the previous estimation steps can be used to estimate the number of PDU/HRDU. OST clients are fully included;;;;;;;;;;;;;
(13) 17a: Treatment Police     ;;;;;;;;;;;;;
(14) 19a: Treatment multiplier method, multivariate indicator method, multiple imputation. Local police data for local capture-recapture analysis in combination with local treatment data.. The group of primary crack users is likely to be underrepresented (especially those who do not consume opiates).      ;;;;;;;;;;;;;
(15) 19b: Persons dependent on opiates and/or crack cocaine, in contact or potentially in contact with police or health care services for drug-related problems.      ;;;;;;;;;;;;;
(16) 19c: Although reference year is '2001', some local estimates (anchor points) in the model are based on older data. Thus the estimate does not 100% accurately refer to 2001.;;;;;;;;;;;;;
(17) 19d: Although reference year is '2001', some local estimates (anchor points) in the model are based on older data. Thus the estimate does not 100% accurately refer to 2001.;;;;;;;;;;;;;
(18) 19e: Persons dependent on opiates and/or crack cocaine, in contact or potentially in contact with police or health care services for drug-related problems.      ;;;;;;;;;;;;;
(19) 19f: Methadone Treatment (LADIS)      ;;;;;;;;;;;;;
"(20) 20a1: POU include the vast majority of PDU because in Austria the drug problem is dominated by opioids (poly-drug consumption including opioids.OST programs and criminal justice system. OST clients are fully included/ the entire case registry was used for the estimate. Before 2000:Combined interval from multiple capture-recapture and truncated Poisson estimates.    For 2000:Two-sample capture-recapture between police and substitution treatment sample, potential interactions cannot be accounted for. Possibly an overestimation due to systematic bias in the registries.policesubstitution treatment. For 2001 to 2004: Substitution treatment clients, opiate related police charges.The CRC estimates for the years 2001 to 2004 were carried out in the framework of the ""Monitoring Project"". Also 3 sample CRC using drug related death were calculated but lead to unstable result (due to the low number of DRD). So it was decided to only use 2 sample CRC. With this method possible interactions between the two sources used cannot be controlled. The results have to be interpreted very cautious. The substitution treatment database is based on the notification of the begin and the end of treatments. If the notification of the end is missing the client stays as ""ghost case"" in the database which would cause a cumulative error in the estimations (overestimation) over the years. Since there was no information about the proportion of this error there was no possibility to correct it in earlier estimations transmitted to the EMCDDA. In the new estimations for the years 2002 to 2004 delivered this year the bias was statistically corrected by weighting the substitution cases by their probability of beeing a ghost case based on the respective substitution length. The weight used was gained by a special project in 2004 (investigation of 600 randomly selected clients concerning their treatment status). Please replace the former transmitted estimations for 2001 and 2002 with this new estimations. For 2005-2007:The CRC estimates for the years 2005 to 2007 were carried out in the framework of the ""Monitoring Project"". Also 3 sample CRC using drug related death were calculated but lead to unstable result (due to the low number of DRD). So it was decided to only use 2 sample CRC. With this method possible interactions between the two sources used cannot be controlled. The results have to be interpreted very cautious. The substitution treatment database is based on the notification of the begin and the end of treatments. If the notification of the end is missing the client stays as ""ghost case"" in the database which would cause a cumulative error in the estimations (overestimation) over the years. The bias was statistically corrected by weighting the substitution cases by their probability of beeing a ghost case based on the respective substitution length. The weight used was gained by a special project in 2004 (investigation of 600 randomly selected clients concerning their treatment status). In 2007 some corrections concerning ghost cases were done in the database. Due to this fact the correction factor calculated in 2004 is not correct anymore and probably leads to an underestimation of the prevalence. A comparison of the unweighted estimates for 2004 before and after the correction (using an old version of the database) lead to the conclusion that the corrections in the database do not influence the estimates very much. ";;;;;;;;;;;;;
"(21) 20a2: Nevertheless the estimation without correction factor for 2005 would be: 44450 [41781:47119]. In our drug report we use the lower bound of the confidence interval of the estimation with correction factor and the upper bound form the estimation without the correction factor which leads to an estimation 28491 to 47119. (for 2006 would be: 37114 [35157:39071]. In our drug report we use the lower bound of the confidence interval of the estimation with correction factor and the upper bound form the estimation without the correction factor which leads to an estimation 23908 to 39071 and for 2007:32069 [30678:33461]. In our drug report we use the lower bound of the confidence interval of the estimation with correction factor and the upper bound form the estimation without the correction factor which leads to an estimation 22198 to 33461. ) Concerning trends both estimations (with correction factor and without correction factor) lead to the same results: - there is an increase of prevalence until 2004 and since then the prevalence rates decrease to some extent. For the future the situation will improve a lot due to the fact that there will be a new data collection system on substitution treatment which will avoid the ghost case problem. substitution register (substitution treatment clients). drug related police notifications (person with opiate related police notification). For 2008:Substitution register (not only methadone).The main problem with this source of data is that when the end of a treatment is not reported the person stays as ""ghost case"" in the register. In 2004 a correction factor was calculated based on a validation study. This factor is used below.drug related police notifications.The main problem with this source of data is that the proportion of persons notified who just deal and do not consume opiates is not known.persons with opiate related police notifications. For 2009-2011: In the framework of eSuchtmittel this problem could be solved. For 2009 the correction factor is not used anymore.";;;;;;;;;;;;;
(22) 21a: Benchmark method with use of nominations from general population survey and treatment data. The central estimate is a simple mean from Low and High prevalence estimates For 2002 estimate: within the framework of a countrywide population survey of 2002. Three estimations were conducted on the basis of the following registers: residential drug treatment, out-patient and HIV cases.For 2005,2009,2014: Respondents were ask about known to them drug addicts, that means regular drug users experiencing serious drug related problems. Each nominees was reported individually (gender, age group, opiate use, injection use, residential treatment and out-patient treatment utilization/ambulatory data ). Based on proportion of treated among nominees with known treatment status the multiplier was calculated. It was done twice for residential treatment and out-patient treatment separately. Two estimation achieved this way were used to create range.For 2005: Residential treatment statistics, Person treated in residential treatment facility due to drug problem (ICD-10, codes F11-F16, F18, F19). Inclusion criterion was at least one day stay during 2005. Double counting controlled on the national level. out-patients treatment statistics. Person treated in out-patients treatment facility due to drug problem (ICD-10, codes F11-F16, F18, F19). Inclusion criterion was at least one visit during 2005. Double counting controlled on the clinic level only. Regular drug user experiencing serious drug related problems who was reported by respondent. General Population Survey.;;;;;;;;;;;;;
(23) 22a: Criminal Police (Ministry of Justice)      ;;;;;;;;;;;;;
(24) 22b: Treatment data (clients in Specialised Treatment Centres - CAT in 2005);;;;;;;;;;;;;
(25) 22c: Outreach Work Teams Multiplier. Harm reduction data;;;;;;;;;;;;;
